"Name","Id","Version","Available","Source"
"Microsoft Copilot","Microsoft.Windows.Ai.Copilot.Provide…","1.0.3.0","",""
"Dev Home","Microsoft.DevHome","0.1300.477.0","","winget"
"Photos Microsoft","Microsoft.Windows.Photos_8wekyb3d8bb…","2024.11030.15001.0","",""
"Horloge Windows","Microsoft.WindowsAlarms_8wekyb3d8bbwe","1.0.191.0","",""
"WindowsAppRuntime.1.1","Microsoft.WindowsAppRuntime.1.1_8wek…","1005.616.1651.0","",""
"WindowsAppRuntime.1.2","Microsoft.WindowsAppRuntime.1.2_8wek…","2000.802.31.0","",""
"WindowsAppRuntime.1.3","Microsoft.WindowsAppRuntime.1.3_8wek…","3000.934.1904.0","",""
"WindowsAppRuntime.1.4","Microsoft.WindowsAppRuntime.1.4_8wek…","4000.1136.2333.0","",""
"WindowsAppRuntime.1.5","Microsoft.WindowsAppRuntime.1.5_8wek…","5001.95.533.0","",""
"Calculatrice Windows","Microsoft.WindowsCalculator_8wekyb3d…","11.2401.0.0","",""
"Caméra Windows","Microsoft.WindowsCamera_8wekyb3d8bbwe","2024.2402.5.0","",""
"Hub de commentaires","Microsoft.WindowsFeedbackHub_8wekyb3…","1.2401.20253.0","",""
"Cartes Windows","Microsoft.WindowsMaps_8wekyb3d8bbwe","1.0.60.0","",""
"Bloc-notes Windows","Microsoft.WindowsNotepad_8wekyb3d8bb…","11.2402.22.0","",""
"Magnétophone Windows","Microsoft.WindowsSoundRecorder_8weky…","1.0.77.0","",""
"Microsoft Store","Microsoft.WindowsStore_8wekyb3d8bbwe","22403.1401.3.0","",""
"Terminal Windows","Microsoft.WindowsTerminal","1.19.10821.0","","winget"
"Windows Package Manager Source (wing…","Microsoft.Winget.Source_8wekyb3d8bbwe","2024.430.656.911","",""
"Xbox TCUI","Microsoft.Xbox.TCUI_8wekyb3d8bbwe","1.24.10001.0","",""
"Xbox Game Bar Plugin","Microsoft.XboxGameOverlay_8wekyb3d8b…","1.54.4001.0","",""
"Game Bar","Microsoft.XboxGamingOverlay_8wekyb3d…","7.124.3191.0","",""
"Xbox Identity Provider","Microsoft.XboxIdentityProvider_8weky…","12.95.3001.0","",""
"Xbox Game Speech Window","Microsoft.XboxSpeechToTextOverlay_8w…","1.21.13002.0","",""
"Mobile connecté","Microsoft.YourPhone_8wekyb3d8bbwe","1.24032.123.0","",""
"Lecteur multimédia Windows","Microsoft.ZuneMusic_8wekyb3d8bbwe","11.2403.5.0","",""
"Films et TV","Microsoft.ZuneVideo_8wekyb3d8bbwe","10.22091.10061.0","",""
"Microsoft Family","MicrosoftCorporationII.MicrosoftFami…","0.2.40.0","",""
